# SHA-256 manifest of all SF2 outputs after v3.5.54 (Phase 19) refactor.
# Generated 2026-05-25. 283/286 files (3 architectural CONV_FAILs:
# Echo_Beat / Crosswords / Magic_Sound).
# Format: <sha256>  <stem>.sf2  <size_bytes>
155ba89a5880668c1a09831dcef6112bc9a261fffa7a2fdda091891c7971f17c  Syncopated.sf2  20620
1acaceebd432fc7cac892dedc93085fa3c8a0eddc2c1113707388ae222e1eb64  Synthony.sf2  8231
bbe6d1a5d5769173a84efb35a837f62269c8d9c4cf3bb7d0dffa944e4fa87536  System.sf2  51845
8117dbadd9302376a3acf54891993c74d29f1da903b59d99c1eb2fc8a2de7a6c  Their_Song.sf2  18393
a162b9979ac1879c608cccbd0d8c5be04ce69d227f3bf147824dc09cbfd897e6  Thyge.sf2  6422
28dffb7fcfced97d7ae83376392817ddf5a2fca9a57e986c383a97b7c71b2721  Tilt.sf2  8217
8a248c695c6c98f15cd4fbf6ae7c209ffcdb8e0bf82bed3cc38b05f40de02371  To_Match.sf2  21847
78b6c97aa29fb03ade6b6e2556b2fbf91d802304c6cb2900ad6c5401ac4e0b05  To_TMC.sf2  5624
486e55bed9e29b568bdec018049396f8547350f2e7bd1c625433b0d1d6aecdd8  Too_Much_Hubbard.sf2  51771
d12442633483fa552b5a00375ca83b886e63b720a01ba3b3c3d94efd71f6e0a0  Tough_One.sf2  23313
e906a9abbf44e599f9a72d65eead62f588477e7559d4da17fcad2edfca0157be  Trap_Intro.sf2  7636
66637072154a01268ede8ddc00b6c698d947018b896250016ec270665794b921  TSZ_Intro.sf2  18018
591f5031189a64066b9f2b4b69d6b8ea1507670f799dc2c0d3c4af274c067166  Tuborg.sf2  18903
a05fa61f4c926ace02e2d889388d94ae68179abd1c9f9f4f12703e710e86d74b  TWINE_Intro.sf2  10933
c87d5e5ee09284efb283385ce56cedc71e9bc81ed42f51242b32d93dbac0f801  TWINE_Jam_Bond.sf2  8207
f85fc21bce103941608220bccbc8e4edb828aa03ed00a3fe1c6cc10fb8b9750e  TWINE_Turn_Disk.sf2  6449
081e47968519f41b8a271bf4710ebf87c72f440056c640f812f347d7c06d807c  Twisting_88_tune_2.sf2  6880
d917225aa75931a566a8bf7cc08048d1a31d011f369b7c35dc44bd6a12de4312  Twone_Five.sf2  4194
5d6e5d5d47d302447a26e54b8bf39a62a5e9757afc3b6acdca5f4a4823f8703c  Unboxed_Intro_6581.sf2  8045
38844b8be1444a029c3eaca8839a805dcf7bc53780e1f7a0816cb435764419f9  Unboxed_Intro_8580.sf2  8039
d020c676de6b3cd181ec1927926925f5db31ba620740122cedc977f6eec12e7a  Unboxed_Turn_Disk_6581.sf2  7738
5f245e616474b989c562f723cf4ec83ebec4fd7a91b04219f33819a5645bae86  Unboxed_Turn_Disk_8580.sf2  7792
91331f4fc730412b81456d47343923e75c1420f525c31b8f7546b947edecdb44  Unfinished_Business.sf2  8464
4755abf4e15c03394b5a61cb3266286c5ae994ad69d8f02ae0e915e527b78259  Upfront.sf2  6842
38edd5f1490c76a2792b3e5e9128ea092b944bce4cd2d7f234ae3193834ee8e8  Uppercut.sf2  6579
74e3956affdadc8aa58fc57ade534f9ec570fe577dcad0468b4c743ce3602ced  Utah_Jazz.sf2  20030
b8672148a180d45bed3823917402223cf177281b2a93d0f6685568565e5a3a02  Vandals_Waltz.sf2  47372
477c7feb318259a44abb7409286f2d8eff790472437248912892e70358749400  Waste.sf2  60251
3aac9e1b0eb4aba572b5264b21d636ea2fa5d3279ef2e46ff072666f8eac6214  Waste_2.sf2  8191
89a47fb4dc7d94dfc5d0f5abdb191bc7e6b4ef48db40b780776e081081d5ac24  Waste_III.sf2  20327
7c8733b19766055ca3042f82e3cd2c00f5cd25ab224986101ca850a2cccdf851  Watch_Out.sf2  22977
1c1654b39a375e127aa5dbd81a1e9940f453e40e15c28a9813c1fb4ad706468c  Waves.sf2  12170
ca6a0c1ae8ee858e0a07444dc4c49e8dcb7484e4694767ae62a68c75b6a92167  Way_of_the_Exploding_Walt.sf2  36302
076eb595c2d991764fcb8e4e65ce59869d673934a50373209fcc6a819f780fb4  Well_Baby.sf2  19349
c505bc269ca31c57b324605d96e3f96d0867cfc30a2fa6141444522317e30d2e  Who_Cares.sf2  51406
a50747998e217dce9786b4131658179988e530151bb1d0b1dd12c876676a3e1a  Why_Die.sf2  18675
701bf57f210ddb92462c7088b67938fb16c6c3166b459adbdc7b53300165f796  Wierd.sf2  20072
bbcbb31bd2f308694c3ecaeb8a04affd44f0db3343fc625bc023f5a26a9ec243  Wind_Blows.sf2  5251
c850015df1e85ce9b83717607cac2c7c7a0834a3abb5b875f870b6391e964bc4  Wisdom.sf2  30637
e31e4f4ec2eec3ee07536be502a759e4258af08a4d810c2f41e0df86104e3d6d  Wizax_Logo.sf2  18208
656501650c81473c72338abb30c3b7da8fe6944c596547ec1b4c9b9d0c6eb30c  Wizax_tune.sf2  10791
54293d7cd0d52e68d1b71d52dceb59779705093b79d0df76556f4e88c9c2947d  Wizz_tune.sf2  6919
dde5ec8d80b66d3afe0be17826ef54e187dfc8595f5daeb2301bbd60ae1d8983  Wob_War.sf2  20745
de1998152c00270679934a7c338e5305dbc4ab35a6f43aec7aa1f99d1a59049f  Wood_Worne.sf2  6798
202cee31462e7aba28880631e2068de9010fcc0c0159466a5d38f2b12d35e3ab  Wow_Intro.sf2  18659
2648437fb2b947c1cefc4e2caebc75ee144f50882791c72fced5ac47c9c7ad98  Wow_Reggae.sf2  19794
73fcf813054f39f5f227eebef86e7f474c084a939413c41da136a27aa4d1699e  X-Mas_Song.sf2  18485
cfd7e3a175cb0a474d266f5c84923919b97f7d82939cf2e98a991b5f54625c12  Yakie.sf2  8996
7eeac32cb36d07376b9a868ea233054650f8e3887570db7222ecd0f50e5e17e1  Yield_Point.sf2  19145
c491acc15d52c2f6974fd60ed8e92595f8d144859bea87a8fa8a1f274c3a062b  Ze_Rythem.sf2  20155
b62150ea76cc88c47d9486fb62a9dd5dab0bc083a553fa667ceb451e677257d1  Zimxusaf_I.sf2  19917
